S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
36,Ward 13,12389,कामपा १३ वडा कालिमाटी टंकेश्वरमा रहेको जुबिल्यान्ट स्कुलले  स्टेशनरी भनेर monthly extra charge लिइराखेको छ साथै  mobile app भनेर पनि मासिक शुल्क लिइराख्नु भएको छ भन्ने गुनासो आएको छ ।,11/22/2024,शिक्षा विभाग,open
38,Ward 16,11994,"१६ वडा नयाँ बजार मनास्लु बाेडिङ स्कुलले  १ कक्षा देखि १० कक्षा सम्मकाे विध्यार्थिलाइ स्कुलभित्रबाटै जवरजस्ति स्कुलकै कपि  दिन्छ आफैले किनेकाे कपि मान्दैन अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । 
",09/27/2024,शिक्षा विभाग,open
39,NoWard,11980,का म पा धुम्बाराहिमा रहेकाे इनसाइड भिजन कलेजमा साइन्स काे बिध्यार्थिकाे लागि  lab अनिवार्य हुन्छ तर धुम्बाराहिमा रहेकाे इनसाइड भिजन कलेजमा lab  काे व्यवस्था छैन  अनुगमन गर्नुपर्याे । ,09/26/2024,शिक्षा विभाग,open
40,NoWard,11960,प्राय सबै निजि तथा सामुदायिक स्कुलहरुमा पिउने पानिमा लापरबाहि छ र शाैचालय पनि सफा छैन यसकाे हनुगमन र कारबाही गर्नुपर्याे । ,09/25/2024,"कृषि तथा पशुपक्षी विभाग,शिक्षा विभाग",open
41,Ward 8,11952,८ वडा तिलगंगा खाेला पारी रहेकाे प्यारागन पव्लिक स्कुलले १ महिना स्कुल विदा गर्दा पनि खाना र यातायातकाे पैसा लियाे जवकि त्याे समयमा खाना पनि खाएकाे हुदैन यातायात पनि चढेकाे हुदैन अनुगमन गरी कडा कारबाहि गरिदिनुपर्याे । ,09/24/2024,शिक्षा विभाग,open
42,Ward 32,11936,"कामपाबाट छात्रवृति पाएका विधार्थीलाई बालकुमारीमा रहेको CCRC college ले Monthly Fee भनेर जम्मा रु ६०,०००।- मागेको छ । अनुगमन गरिदिनुपर्यो ।",09/22/2024,शिक्षा विभाग,open
43,Ward 28,11902,"नमस्कार महोदय,
म काठमाडौं महानगर बसी पद्मोदय माध्यमिक विद्यालयमा कक्षा 10 मा आधारित छु। हाम्रो विद्यालयमा बिहान 6 बजे देखि 10 बजे सम्म कोचिङ कक्षा सञ्चालन हुनछ ।हामीलाई महानगरवटै नै गराउन भनिएको छ भनेर भनिन्छ । 350 को दरले 4 ओटा कक्षा सञ्चालन गरिन्छ। यो सही हो कि महानगरले यो आदेश देको छ।
तपाईं को जवाफको लागि म पर्किन्छु ।
धन्यवाद !",09/19/2024,शिक्षा विभाग,open
44,NoWard,11890,सवै संस्थागत विद्यालयमा फरक फरक असमान  समयमा विदा हुदा एउटै घर वाट जाने वच्चाहरुमा पनि नकारात्मक विचार हुन थाल्यो कसैको विदा कसैको स्कुल खु्ला हुनु भएन,09/17/2024,शिक्षा विभाग,open
45,NoWard,11867,"My sister has just passed +2 and her clz is asking for Rs4500 for certificate is it right fee or are they charging unnecessary fee 
Hope to hear from you soon",09/14/2024,शिक्षा विभाग,open
46,Ward 10,11847,१० वडामा रहेकाे रत्नराज्यलक्ष्मि स्कुलमा इन्टरनल परीक्षामा ९/१० कक्षाकाे बिध्यार्थि  थाेरै मात्रामा पास भए कक्षामा शिक्षककले एउटा कुरा पढाउने परीक्षामा प्रश्नपत्र अर्काे निकाल्ने  पढाइमा लापरबाहि गरेकाे देखियाे तर बिध्यार्थिलाइ नै दाेष दिएर उम्किन खाेजेकाे र स्कुलकाे व्यवस्थापन पनि  राम्राे नभएकाेले तत्काल समाधान गरिदिनुहुनकाे लागि अनुराेध छ ।,09/12/2024,शिक्षा विभाग,open
